"","Animal","Estimator","Area","Period.1","Period.2","Period.3","Period.4","Period.5","Period.6","Period.7","Period.8","Period.9","Period.10","Period.11","Period.12","Period.13","Period.14","Period.15","Period.16","Period.17","Period.18","Period.19","Period.20","Period.21","Period.22","Period.23","Period.24","Period.25","Period.26","Year"
"119",45496,"BBMM","plan",15.4101412770771,11.9658769783463,5.12736217884171,11.4742869781621,6.20169216894325,4.19562479733011,6.07676055645076,7.37125139895877,1.65322011790415,3.54337104350956,3.80655975729901,4.36674891821683,8.31503350814019,3.18993804739069,4.49803799951989,11.4450028533849,8.11747117459385,3.38956538572753,6.12516961695114,15.9749811911524,10.7273382158491,13.2257823928984,12.7752916528701,7.96702091755866,6.70380782224869,7.77424975922089,2021
"120",45496,"BBMM","surf",17.3285089710247,13.2243131072423,5.70036015908448,12.7631269039994,6.76798069766165,4.51450506884345,6.5798936757007,8.10346730058073,1.76801962913099,3.7776202960694,4.09036667085064,4.74389608810308,9.04808322791003,3.42034680695562,5.02402877417354,12.9233332389549,9.11931123562268,3.80209236551872,6.92852337904301,17.7834947888311,11.7469154138346,14.2153671472728,13.6788520059321,8.47529410459812,7.17275482442596,8.31194261190124,2021
"121",45497,"AKDE","plan",34.8643992458841,25.5478902369908,11.3872109552515,15.7200713500234,6.37945960261451,6.56557692318169,9.66106424698743,9.21610583805975,7.18286692920453,6.13351367606437,5.10516259591633,2.56893165506012,4.53978972000885,8.76336643511665,6.50507376294509,17.6977196779533,7.88130497795856,6.32622974068435,98.4195302959456,7.36578521070741,19.5821159970634,15.5910336576229,4.60250497214952,15.564508317674,20.5078202339121,10.3968936375023,2021
"122",45497,"AKDE","surf",39.0899364252515,28.4753348619124,12.7128763962946,17.3441611285565,6.90122541417223,7.17351144296374,10.5246913757028,10.0296692007732,7.72962161961837,6.60397737559203,5.43632441983674,2.72587832920568,4.86158682044403,9.51982883211384,6.99824506839756,19.5884492439051,8.84042031621182,7.05896701204161,109.291966824495,8.06962886352074,21.5970235614596,16.6590778813644,4.90585106328066,17.1668704770979,22.1752896041109,11.0892608287511,2021
"123",45497,"BBMM","plan",18.7122605701555,8.34586325273628,7.22346419716547,6.43245444478964,5.36739359438129,4.47016356795165,6.48421135413029,7.18112183134856,5.94911742211201,4.16780037252114,3.56475595074861,2.45466780980277,3.10595904033993,3.19345524033047,3.18059548761101,5.22918134120253,3.40554620529294,3.48085787127257,26.5504738050039,6.82130151302884,14.9900144430776,11.0854557794918,8.30984936130086,5.94863286710479,8.13529080948046,9.28522857384631,2021
"124",45497,"BBMM","surf",21.0372159017228,9.26448216314895,8.10028161287241,6.98096631704338,5.84902019497534,4.81424701654197,6.98462654688842,7.75800457031222,6.35993610576674,4.46566392159006,3.79168294088255,2.60695787270308,3.2876096065672,3.41732018106397,3.37070446314109,5.74497045819618,3.82429898820538,3.91226966718258,29.5555884265717,7.46784892912838,16.4435549979265,11.8637572238845,8.84405089514103,6.50321369495459,8.76912907737619,9.92795749571193,2021
"125",45498,"AKDE","plan",9.38855516272837,19.074123749424,5.01395133679573,3.28339677406674,6.22936709490368,6.27786542212027,5.70974487786808,2.96745627518089,3.22436525719822,9.11913601200036,1.70836701472637,14.8790492290234,43.301900523249,3.0248817043383,4.53182542258569,2.2423983729553,2.49005714952765,7.07418425896201,89.8920032829143,5.9405096709367,3.4164744032428,10.3107571270706,3.71995879258927,3.43460179836781,45.3241148554514,5.22305450371583,2021
"126",45498,"AKDE","surf",10.2782309523928,20.9623353152419,5.46266430764236,3.46712596560048,6.69278038229198,6.73566369465224,6.13373297964583,3.14277932818885,3.46816806249407,9.92096588098511,1.81044279124776,0.15653055299137,0.453900554571141,3.19287931919494,4.8642465920199,2.38094268299257,2.66287469754514,7.84282810406736,0.999635790224712,6.47661436741779,3.63482726356122,11.2749317546498,4.01134214753932,3.68619435063869,0.480036492797354,5.69255659545808,2021
"127",45498,"BBMM","plan",7.52720600382305,2.35055474322238,2.97949366489029,1.68616251957963,2.91420882965237,4.72126035331499,3.60241159201936,3.6753704691462,1.72256844283601,3.65255944317345,1.26749883826293,0.153751855440211,0.252973469739783,1.4410695518233,0.605963533838872,0.931489334733475,0.94348535849462,2.06264120749003,1.15780184266523,5.52690048918546,2.9504112282455,1.86352105809616,2.1305922675006,1.2702066851328,0.487042632511697,2.77601797605103,2021
"128",45498,"BBMM","surf",8.23091037056155,2.62369948968386,3.23600133306881,1.77574849092255,3.10187886900163,5.02005237924222,3.82678129955381,3.94037360762062,1.82803774856218,3.87431139598442,1.34483927150532,0.161495824314921,0.267045287136239,1.5023309063638,0.63419083363314,0.975155486631857,1.00064384597143,2.30432782210916,1.29105432156694,6.03388972168131,3.13930736783224,1.97425497381258,2.28856645534399,1.35392393728026,0.521276210951045,3.05475738896572,2021
